abseiling," doing controlled descent down a vertical drop, using a rope to manage speed and direction."
air drumming,"doing rhythmic, exaggerated hand and arm movement, often mimicking the action of hitting drums in various positions."
answering questions,"doing  cognitive processing, followed by verbal articulation or physical typing of the response."
applauding," doing rhythmic clapping of hands together, often accompanied by cheering or whistling."
applying cream,"doing  gentle, circular rubbing or patting motion on the skin."
archery," doing steady, focused movements involving drawing a bowstring back, aiming, and releasing the arrow towards a target."
arm wrestling," doing forceful, opposing arm movements with the aim of pinning the opponent's arm down."
arranging flowers," doing careful, delicate hand movements to place and adjust flowers in a vase or arrangement."
assembling computer," doing careful placement and connection of various components such as motherboard, CPU, RAM, hard drive, power supply, etc. inside a computer case, often involving precise screwing and plugging in of cables."
auctioning," doing rapid, rhythmic speech, hand gestures to acknowledge bids, and use of a gavel to close sales."
baby waking up,"doing stretching arms and legs, yawning, rubbing eyes, and moving around in a crib or bed."
baking cookies," mixing ingredients in a bowl, rolling out dough, cutting shapes with a cookie cutter, and placing them on a baking sheet, then putting the sheet in the oven and removing it when the cookies are done."
balloon blowing," stretching the balloon, placing it on the lips, and exhaling forcefully into it to inflate it, then tying it off to prevent the air from escaping."
bandaging,doing  careful wrapping and securing of a material around a wound or injury.
barbequing," flipping and turning food on a grill, adjusting heat levels, and occasionally adding sauces or spices."
bartending," pouring drinks, shaking or stirring mixtures, sliding glasses across the counter, and interacting with customers."
beatboxing," doing rhythmic, vocal percussion with mouth movements mimicking drum machines, often involving tapping of chest or clapping hands for additional beats."
bee keeping,"doing  careful, slow movements to avoid disturbing the bees, using a smoker to calm the bees, lifting and inspecting frames from the hive."
belly dancing,"doing fluid, undulating movements of the torso, combined with rhythmic hip drops, shimmies, and twists."
bench pressing," lying on a bench, gripping a barbell above the chest with both hands, lowering it to the chest, and then pushing it back up until the arms are fully extended."
bending back,"is leaning the upper body backwards, often involving a curve in the spine and a stretch in the abdominal muscles."
bending metal," applying force to change the shape of the metal, often involving the use of tools, with movements of pushing, pulling or twisting."
biking through snow," pedaling harder than usual, maintaining balance, and maneuvering carefully to avoid slipping or skidding."
blasting sand,"doing  high-pressure, forceful projection of abrasive material onto a surface."
blowing glass,"  rotating a blowpipe, inflating molten glass into a bubble, shaping it with tools and movements, and periodically reheating it in a furnace."
blowing leaves," sweeping, circular arm movements with a leaf blower or rake, causing leaves to scatter and fly in different directions."
blowing nose," holding a tissue to the nose, closing one nostril at a time, and forcefully exhaling through the open nostril."
blowing out candles," leaning forward, pursing the lips, and exhaling forcefully."
bobsledding," doing rapid descent down a narrow, twisting, iced track in a gravity-powered sled, with precise steering and coordination."
