Apply Eye Makeup," doing precise, delicate hand movements, often involving brushes or applicators, focused around the eye area."
Apply Lipstick,"  doing precise, controlled hand movement to glide the lipstick over the lips, often combined with puckering or stretching the lips for even application."
Archery," doing steady, focused movements involving drawing the bowstring back, aiming, and releasing the arrow towards the target."
Baby Crawling," moving forward on hands and knees, often with a rocking or swaying motion."
Balance Beam,"  doing precise, controlled movements including flips, jumps, and turns on a narrow, elevated beam."
Band Marching," doing synchronized, rhythmic stepping and instrument playing, often involving complex formations and turns."
Baseball Pitch," doing wind-up, followed by a rapid, forceful forward and downward arm movement, ending in a follow-through."
Basketball,"dribbling, shooting, passing, jumping, and running."
Basketball Dunk,"  doing explosive leap off the ground, arm extension towards the hoop, and forceful downward thrust of the ball through the net."
Bench Press," lying on a bench, gripping a barbell above the chest with both hands, lowering it to the chest, and then pushing it back up until the arms are fully extended."
Biking," pedaling with the legs, steering with the hands and arms, and maintaining balance while moving forward."
Billiards,"precise, controlled arm and wrist movements for striking the cue ball, often involving bending over the table and aiming carefully."
Blow Dry Hair," Holding a blow dryer in one hand and a brush in the other, moving both in a coordinated manner along the length of the hair, from roots to ends."
Blowing Candles," leaning forward, pursing the lips, and exhaling forcefully to extinguish the flames."
Body Weight Squats,"Bending at the knees and hips to lower the body as if sitting back into a chair, then pushing back up to a standing position, often with arms extended forward for balance."
Bowling," having a smooth, controlled arm swing to release the ball down the lane, often with a slight twist of the wrist to create spin."
Boxing Punching Bag,"  doing powerful, repetitive striking movements with both fists, often involving footwork and body rotation for added force."
Boxing Speed Bag," doing  rapid, rhythmic punching with alternating hands, often with circular arm movements."
Breast Stroke," doing simultaneous and symmetrical arm pull and kick in the water, with a glide phase and a breathing moment when the swimmer's head comes out of the water."
Brushing Teeth,"  doing repetitive, circular or up-and-down motion of the hand holding the toothbrush, along with occasional spitting and rinsing."
Clean And Jerk," doing two-part weightlifting movement which involves lifting the barbell from the floor to the shoulders (the clean), and then pushing it overhead (the jerk)."
Cliff Diving," jumping off a high cliff into water, typically involving acrobatic maneuvers in mid-air before entering the water."
Cricket Bowling," having a run-up followed by a wind-up and release of the ball in a overarm action, aiming to hit the wickets or deceive the batsman."
Cricket Shot," having a swift, precise arm and wrist movement to hit the ball, often involving a step forward or backward."
Cutting In Kitchen,"  doing precise, controlled hand movements, using a knife to slice, chop, or dice food on a cutting board."
Diving,"  doing forward or backward jump from a diving board or platform, often involving twists, turns, or somersaults before entering the water in a streamlined position."
Drumming," doing rhythmic, precise hand and arm movements striking various parts of a drum set."
Fencing,"  doing quick, agile movements with lunges, parries, and thrusts using a sword."
Field Hockey Penalty,"  doing swift, powerful swing of the hockey stick to strike the ball towards the goal, often involving a quick sprint or run-up before the shot."
Floor Gymnastics,"  doing dynamic and acrobatic movements including flips, rolls, jumps, splits, and balances on a mat."
Frisbee Catch," extending the arm and hand to intercept and grasp the flying disc, often involving running or jumping."
Front Crawl,"alternating overhand arm strokes, flutter kick with the legs, and regular breathing with face in the water."
Golf Swing,"doing  smooth, controlled rotation of the body, a shift of weight from the back foot to the front foot, and a sweeping arc of the arms and club to hit the ball."
Haircut," Sitting or standing still while a hairdresser or barber uses scissors, clippers, and combs to trim and style the hair."
Hammering,"doing  forceful, repetitive downward movement of the arm and wrist."
Hammer Throw," spinning in a circular motion to build momentum, then releasing the hammer in a forward throw."
Handstand Pushups,"with inverted body position, using arms and shoulders to push the body up and down against gravity, maintaining balance on the hands."
Handstand Walking," Balancing on hands, shifting weight from one hand to the other, and moving hands alternately to progress forward."
Head Massage," doing circular and kneading movements on the scalp, along with gentle pulling or tugging of the hair."
High Jump,"sprinting towards the bar, followed by a leap with a curved trajectory, arching the back over the bar and landing on a mat."
Horse Race," galloping at high speed, jockey leaning forward on the horse, making tight turns, and jumping over hurdles."
Horse Riding,"doing rhythmic, up and down movement in sync with the horse's gait, along with occasional leaning forward or sideways, and gentle tugging of the reins for direction."
Hula Hoop, doing continuous circular hip movements to keep the hoop spinning around the waist.
