Apply Eye Makeup,"Characteristic motion of applying eye makeup is: holding a small brush or applicator, delicately sweeping it over the eyelids, lashes or eyebrows, often leaning towards a mirror to ensure precision."
Apply Lipstick,"Characteristic motion of applying lipstick is: holding a lipstick tube, twisting it to reveal the product, puckering the lips, and carefully gliding the lipstick over the upper and lower lips."
Archery,"Characteristic motion of archery is: standing still, pulling back the bowstring with one hand while aiming the arrow with the other, and then releasing the string to shoot the arrow."
Baby Crawling,"Characteristic motion of baby crawling is: moving on hands and knees, often rocking back and forth before propelling forward."
Balance Beam,"Characteristic motion of Balance Beam is: carefully walking, jumping, or flipping along a narrow, elevated beam, maintaining balance and control."
Band Marching,"Characteristic motion of Band Marching is: moving in synchronized steps, playing musical instruments, and following specific formations and patterns."
Baseball Pitch,"Characteristic motion of Baseball Pitch is: winding up the body, lifting one leg, extending the arm back, and then swiftly throwing the ball towards the home plate."
Basketball,"Characteristic motion of Basketball is: dribbling the ball, shooting it towards the hoop, jumping to block or catch the ball, and running across the court."
Basketball Dunk,"Characteristic motion of Basketball Dunk is: running or dribbling towards the basket, jumping high into the air, and forcefully throwing the ball down into the hoop."
Bench Press,"Characteristic motion of bench press is: lying on a bench, gripping a barbell with both hands, lowering it to the chest, and then pushing it back up until the arms are fully extended."
Biking,"Characteristic motion of biking is: pedaling with the legs, steering with the hands, and balancing the body on the bike."
Billiards,"Characteristic motion of Billiards is: leaning over the table, aiming the cue stick at the ball, and making precise, controlled strokes to hit the ball into the pockets."
Blow Dry Hair,"Characteristic motion of blow drying hair is: holding a blow dryer in one hand and a brush in the other, moving the dryer back and forth across the hair while brushing through the strands."
Blowing Candles,"Characteristic motion of blowing candles is: leaning forward, pursing the lips and exhaling forcefully towards the candles."
Body Weight Squats,"Characteristic motion of Body Weight Squats is: bending the knees and hips to lower the body as if sitting back into a chair, then pushing back up to standing position."
Bowling,"Characteristic motion of bowling is: swinging the arm back and forth to release the ball down the lane, aiming to knock down as many pins as possible."
Boxing Punching Bag,"Characteristic motion of Boxing Punching Bag is: repeatedly striking the bag with forceful punches, hooks, and uppercuts while maintaining a steady footwork."
Boxing Speed Bag,"Characteristic motion of Boxing Speed Bag is: repeatedly hitting a small, hanging bag with quick, rhythmic punches."
Breast Stroke,Characteristic motion of Breast Stroke is: moving arms in a semicircular motion in front of the body while simultaneously performing a frog kick.
Brushing Teeth,"Characteristic motion of brushing teeth is: moving a toothbrush back and forth across the teeth, occasionally spitting out toothpaste, and rinsing the mouth with water."
Clean And Jerk,"Characteristic motion of Clean And Jerk is: lifting a barbell from the floor to a racked position across the deltoids, then from there pushing it overhead."
Cliff Diving,"Characteristic motion of cliff diving is: jumping off a high cliff into water, often performing acrobatic flips and spins during the descent."
Cricket Bowling,"Characteristic motion of Cricket Bowling is: running up to a designated line, swinging the arm in a circular motion and releasing the ball towards the wickets."
Cricket Shot,"Characteristic motion of a cricket shot is: swinging the bat in a swift, controlled motion to hit the ball, often involving a step forward or a pivot on the back foot."
Cutting In Kitchen,"Characteristic motion of cutting in kitchen is: holding a knife in one hand and food item in the other, making precise, downward slicing or chopping motions on a cutting board."
Diving,"Characteristic motion of diving is: bending at the waist, extending the arms above the head, and jumping into the water in a streamlined position."
Drumming,"Characteristic motion of drumming is: striking the drum heads with drumsticks or hands in a rhythmic pattern, often involving coordinated movement between both hands and sometimes feet."
Fencing,"Characteristic motion of fencing is: lunging, parrying, and thrusting with a sword while maintaining a defensive stance."
Field Hockey Penalty,"Characteristic motion of Field Hockey Penalty is: running towards the ball, striking it with a hockey stick, and aiming it towards the goal."
Floor Gymnastics,"Characteristic motion of Floor Gymnastics is: performing a series of flips, jumps, twists, and balances on a padded surface."
Frisbee Catch,"Characteristic motion of Frisbee Catch is: extending the arm and hand to intercept the flying disc, grasping it firmly, and bringing it towards the body."
Front Crawl,"Characteristic motion of Front Crawl is: moving arms in a windmill motion, kicking legs up and down, and turning the head side to side to breathe."
Golf Swing,"Characteristic motion of Golf Swing is: standing with a wide stance, gripping the club firmly, rotating the body to pull the club back, and then swinging it forward to hit the ball with precision and power."
Haircut,"Characteristic motion of haircut is: sitting still while a hairdresser or barber is cutting, trimming, and styling the hair using scissors, combs, and other hair tools."
Hammering,"Characteristic motion of hammering is: repeatedly lifting and bringing down the arm with force, striking an object with the hammer."
Hammer Throw,"Characteristic motion of Hammer Throw is: spinning in a circle with controlled, powerful movements, releasing the hammer at the precise moment for maximum distance."
Handstand Pushups,"Characteristic motion of Handstand Pushups is: balancing upside down on the hands, bending the elbows to lower the body, and then pushing back up to straighten the arms."
Handstand Walking,"Characteristic motion of handstand walking is: balancing on the hands, shifting weight from one hand to the other, and moving the hands forward one at a time."
Head Massage,"Characteristic motion of head massage is: applying pressure to the scalp with circular, kneading movements, and occasionally pulling or tugging at the hair for increased circulation."
High Jump,"Characteristic motion of High Jump is: running towards a bar, arching the body backwards and jumping over it, landing on a cushioned mat."
Horse Race,"Characteristic motion of horse race is: galloping at high speed, jockey leaning forward on the horse's back, maneuvering and steering the horse, and jumping over obstacles if present."
Horse Riding,"Characteristic motion of horse riding is: sitting upright on the horse's back, gripping with the knees, rising and falling with the horse's gait, and controlling the horse's direction with reins."
Hula Hoop,"Characteristic motion of Hula Hoop is: rotating a hoop around the waist, hips, neck, or limbs in a rhythmic and continuous motion."
Ice Dancing,"Characteristic motion of Ice Dancing is: gliding gracefully across the ice, performing intricate footwork, spins, lifts, and jumps in time with music."
Javelin Throw,"Characteristic motion of Javelin Throw is: running forward with speed, holding a long, pointed object, and then launching it with force and precision."
Juggling Balls,"Characteristic motion of juggling balls is: continuously tossing and catching multiple balls in a rhythmic pattern, often in an arc shape."
Jumping Jack,"Characteristic motion of Jumping Jack is: doing repetitive movements of jumping to a position with the legs spread wide and the hands touching overhead, then returning to a position with the feet together and the arms at the sides."
Jump Rope,Characteristic motion of Jump Rope is: swinging a rope in a circular motion and jumping over it repeatedly.
Kayaking,"Characteristic motion of kayaking is: using a double-bladed paddle to propel and steer the kayak through the water, often involving twisting the torso and pushing and pulling with the arms."
Knitting,"Characteristic motion of knitting is: moving hands rhythmically, holding knitting needles and yarn, creating loops and stitches to form a fabric."
Long Jump,"Characteristic motion of Long Jump is: running at high speed, taking a leap into the air, stretching the body forward, and landing on a sand pit."
Lunges,"Characteristic motion of lunges is: stepping forward with one foot while lowering the hips until both knees are bent at about a 90-degree angle, then pushing back up to the starting position."
Military Parade,"Characteristic motion of Military Parade is: marching in unison, turning heads sharply, saluting, and carrying flags or weapons in a precise, coordinated manner."
Mixing,"Characteristic motion of mixing is: continuously stirring or blending ingredients together, often in a circular motion."
Mopping Floor,"Characteristic motion of mopping floor is: pushing and pulling a mop across the floor in a sweeping motion, occasionally dipping it into a bucket of water and wringing it out."
Nunchucks,"Characteristic motion of Nunchucks is: swinging and twirling the sticks in a coordinated, rhythmic manner, often with rapid wrist and arm movements."
Parallel Bars,"Characteristic motion of Parallel Bars is: swinging, balancing, and performing various acrobatic maneuvers on two parallel horizontal bars."
Pizza Tossing,"Characteristic motion of pizza tossing is: spinning and stretching the dough in the air with both hands to achieve a thin, even base."
Playing Cello,"Characteristic motion of playing cello is: sitting upright, holding the cello between the knees, moving the bow across the strings in a rhythmic manner, and frequently shifting fingers on the fingerboard to change notes."
Playing Daf,"Characteristic motion of playing Daf is: holding the instrument in one hand, striking it rhythmically with the other hand, and occasionally shaking it to create a variety of sounds."
Playing Dhol,"Characteristic motion of playing Dhol is: vigorously striking the two sides of the drum with sticks, often while swaying or bouncing to the rhythm."
Playing Flute,"Characteristic motion of playing flute is: holding the instrument horizontally to the right side, covering the holes with fingers, and blowing air into the mouthpiece while moving fingers to create different notes."
Playing Guitar,"Characteristic motion of playing guitar is: strumming or plucking the strings with one hand while pressing down on the frets with the other, often moving the hands in a rhythmic pattern."
Playing Piano,"Characteristic motion of playing piano is: sitting upright, moving fingers rapidly and precisely over the keys, often using both hands simultaneously, and occasionally using foot to press the pedals."
Playing Sitar,"Characteristic motion of playing sitar is: sitting cross-legged, plucking the strings with a metal pick worn on the index finger, and frequently adjusting the tuning pegs."
Playing Tabla,"Characteristic motion of playing tabla is: sitting cross-legged, striking the drumheads with the fingers and palms in a rhythmic pattern."
